在重庆市建立李高效生产及绿色防控技术标准园，园地选择上应该避免哪些地形？|应避免选择谷地、盆地或山坡底部等冷空气容易集结的地方。|34
重庆市李栽培地区最暖月的平均温度要求是多少摄氏度以上？|最暖月的平均温度要求在16.6℃以上。|34
重庆市李栽培地区最冷月的平均气温应该在多少摄氏度以上？|最冷月的平均气温应该在-1.1℃以上。|34
重庆市李栽培地区年平均温度范围是多少摄氏度？|年平均温度应在8~18℃之间。|34
重庆市李栽培地区无霜期要求多少天以上？|无霜期要求120天以上。|34
重庆市李栽培地区年降水量要求大于多少毫米？|年降水量要求大于800毫米。|34
采前1个月内的降水量不宜超过多少毫米？|不宜超过50毫米。|34
重庆市李栽培地区年日照时数要求多少小时以上？|年日照时数要求1200小时以上。|34
在丘陵山区建设宜机化果园时，对于坡度大于25°的地块应采取什么建设方案？|应通过小区合理布局、土地整治，达到小型机械可操作、省力化种植的目的。|34
李高效生产及绿色防控技术中，危害李果实的病害主要表现在哪些部位？|果实肩部、尖部及胴部。|66
李高效生产及绿色防控技术中，描述一下李果实发病初期的症状。|发病初期出现暗褐色至深褐色圆形斑点。|66
李高效生产及绿色防控技术中，果实发病后期可能出现什么症状？|病斑处发生龟裂，呈疮痂状，甚至造成果实开裂。|66
李高效生产及绿色防控技术中，新梢受害后会出现哪些症状？|初为长圆形浅褐色病斑，后呈暗褐色，病部微隆起，常发生流胶。|66
李高效生产及绿色防控技术中，叶片受害后会出现哪些症状？|初期产生多角形或不规则形灰绿色病斑，后发展为暗色或紫红色，最后病部干枯脱落而形成穿孔。|66
李高效生产及绿色防控技术中，病菌是如何越冬的？|病菌以菌丝体在枝梢病组织中越冬。|66
李高效生产及绿色防控技术中，病菌何时产生分生孢子？|病菌在春季气温上升后产生分生孢子。|66
李高效生产及绿色防控技术中，孢子产生的最适温度和相对湿度是多少？|孢子产生的最适温度为20~28℃，相对湿度为80%以上。|66
李高效生产及绿色防控技术中，哪些气候条件有利于病害流行？|多雨和高湿有利于病害流行，尤其是春季和初夏降水量多时。|66
：李高效生产及绿色防控技术中，如何防治该病害？|：加强果园管理，秋末冬初结合修剪剪除病枯枝，清除僵果、残桩，集中烧毁或深埋，减少越冬菌源。注意雨后排水。|66
李高效生产中常见的病害特征有哪些？|地上部分比健株衰弱，后期出现叶片变黄、枯萎、变小、枯枝、枯干等特征；根部表面缠有灰白色蛛网状菌丝层，皮层变褐、腐烂且新根稀少；病株树皮变黑，容易脱落，易从土中拔出，根颈部出现黑色胶状溢出物，易折断。|76
李高效生产中病害的发生规律是什么？|病菌以菌丝体、根状菌索在土壤中越冬。在适宜的土壤温度（11.5°C至25°C）和湿度条件下，根状菌索长出营养菌丝侵害新根，逐渐延及粗根。|76
李高效生产中如何进行农业防治？|雨后及时排水，合理使用氮、磷、钾肥，增施有机肥；合理整枝修剪，避免过度修剪导致树势衰弱。|76
李高效生产中如何进行化学防治？|剔除病苗，栽植前用10%硫酸铜溶液或70%甲基硫菌灵可湿性粉剂500倍液浸根；症状初见时，切除已霉烂的根，浇施或撒施药液或药粉；上半年和下半年进行病树处理及施药，避免在7、8月高温、干燥季节扒土施药；使用25%甲霜灵可湿性粉剂、50%福美双可湿性粉剂、45%代森铵水剂等药剂进行药液灌根。|76
李实蜂成虫在什么时候出土？|李实蜂成虫在3月下旬至4月上旬开花期出土。|108
李实蜂幼虫期一般持续多久？|李实蜂幼虫期持续26~31天。|108
李实蜂幼虫会在树的哪个部位蛀入？|李实蜂幼虫一般从果实的顶部蛀入，也有从中部蛀入的情况。|108
防治李实蜂的方法有哪些？|防治李实蜂的方法包括加强果园管理、做好预测预报和覆盖薄膜。|108
为什么说品种栽植混乱的李园受害情况更严重？|品种栽植混乱的李园受害情况更严重，因为这样的李园趋于随机分布，更容易被李实蜂攻击。|108
李高效生产中使用的清洗设备有哪些？|鼓泡清洗机、毛刷清洗机、强流除水机。|140
李高效生产中使用的预处理设备是什么？|打皮机。|140
腌制脱盐过程中使用的设备有哪些？|腌制池（或腌制大缸）、脱盐池。|140
脱水与干制设备有哪些？|三足脱水机或强流除水机、热风烘干机。|140
料液配置设备是什么？|电热搅拌夹层锅。|140
李果加工的工艺流程包括哪些步骤？|清洗原料、预处理、腌制、干燥和脱盐处理、脱水、浸制、烘干处理、包装。|140
在选择李原料时应考虑哪些因素？|应选择果大、肉质厚、完熟、未软化的李作原料，以红心李品种最佳。|140
清洗李果时可以采用哪些方法？|可以采用人工清洗或水果清洗设备清洗表面灰尘、污物、腐叶，并自然沥干或用强流除水设备除水。|140
预处理过程中如何打皮？|可以采用打皮机加入粗盐共打，经滚筒转动而达到打皮目的；或采用砂轮把果皮表面打伤，或做一块有钉的木板让李在上面滚动而破皮。|140
：腌制李果有哪些方法？|：湿法腌制和干法腌制两种方法。|140
李高效生产及绿色防控技术中，污染物的限量应符合哪个国家标准？|GB2762|144
在李罐头加工过程中，用于封罐的设备是什么？|负压封口机|144
李果去皮漂洗过程中使用的氢氧化钠溶液的浓度是多少？|3%|144
在李罐头加工过程中，菌落总数和大肠菌群的限量分别是多少？|菌落总数≤50CFU/毫升，大肠菌群≤3MPN|144
在李罐头加工过程中，致病菌（沙门氏菌、志贺氏菌、金黄色葡萄球菌）的检出情况如何？|不得检出|144
李罐头加工过程中，用于杀菌的设备是什么？|双层水浴式杀菌釜|144
李罐头加工过程中，原料的选择标准是什么？|选择完熟，组织未软化，无霉变、无褐变、无腐烂及病虫害的李果实作为加工原料，李果实污染物及农药残留应符合GB2762、GB2763的要求。|144
高效生产及绿色防控技术中，主要的加工设施设备有哪些？|洗设备包括鼓泡清洗机、毛刷清洗机、强流除水机；去核、切片设备包括李果去核机或手持去核器、果蔬切片机；预冻设备包括隧道速冻机(箱式速冻机、低温冻库)；干制设备为真空冻干设备；包装设备为果蔬充氮包装机。|146
李高效生产及绿色防控技术中，操作要点包括什么？|料选择、清洗、去核(切片)、预冻、冻干、分拣和包装。|146
高效生产及绿色防控技术中，原料选择的标准是什么？|择完熟、组织未软化、无疤痕、无损伤、无腐烂褐变的李果实，且质地适宜刀具切片或去核的硬脆度，可溶性固形物含量在12%以上的李果实最佳。|146
李高效生产及绿色防控技术中，冻干过程的温度变化是怎样的？|在-45℃冻结2小时，然后逐步升温，在-40℃冻干2小时，-30℃冻干2小时，-20℃冻干2小时，-10℃冻干2小时，0℃冻干2小时，10℃冻干2小时，20℃冻干2小时，30℃冻干20小时。干燥时间和物料厚度、物料质地有关，总体需要36小时左右。|146
高效生产及绿色防控技术中，包装时应该放入什么？|装时应根据净含量放入适量的吸湿剂。|146
在重庆市建立李高效生产及绿色防控技术标准园，园地选择上应该避免哪些地形？|应避免选择谷地、盆地或山坡底部等冷空气容易集结的地方。|34
重庆市李栽培地区最暖月的平均温度要求是多少摄氏度以上？|最暖月的平均温度要求在16.6℃以上。|34
重庆市李栽培地区最冷月的平均气温应该在多少摄氏度以上？|最冷月的平均气温应该在-1.1℃以上。|34
重庆市李栽培地区年平均温度范围是多少摄氏度？|年平均温度应在8~18℃之间。|34
重庆市李栽培地区无霜期要求多少天以上？|无霜期要求120天以上。|34
重庆市李栽培地区年降水量要求大于多少毫米？|年降水量要求大于800毫米。|34
采前1个月内的降水量不宜超过多少毫米？|不宜超过50毫米。|34
重庆市李栽培地区年日照时数要求多少小时以上？|年日照时数要求1200小时以上。|34
在丘陵山区建设宜机化果园时，对于坡度大于25°的地块应采取什么建设方案？|应通过小区合理布局、土地整治，达到小型机械可操作、省力化种植的目的。|34
李高效生产及绿色防控技术中，危害李果实的病害主要表现在哪些部位？|果实肩部、尖部及胴部。|66
李高效生产及绿色防控技术中，描述一下李果实发病初期的症状。|发病初期出现暗褐色至深褐色圆形斑点。|66
李高效生产及绿色防控技术中，果实发病后期可能出现什么症状？|病斑处发生龟裂，呈疮痂状，甚至造成果实开裂。|66
李高效生产及绿色防控技术中，新梢受害后会出现哪些症状？|初为长圆形浅褐色病斑，后呈暗褐色，病部微隆起，常发生流胶。|66
李高效生产及绿色防控技术中，叶片受害后会出现哪些症状？|初期产生多角形或不规则形灰绿色病斑，后发展为暗色或紫红色，最后病部干枯脱落而形成穿孔。|66
李高效生产及绿色防控技术中，病菌是如何越冬的？|病菌以菌丝体在枝梢病组织中越冬。|66
李高效生产及绿色防控技术中，病菌何时产生分生孢子？|病菌在春季气温上升后产生分生孢子。|66
李高效生产及绿色防控技术中，孢子产生的最适温度和相对湿度是多少？|孢子产生的最适温度为20~28℃，相对湿度为80%以上。|66
李高效生产及绿色防控技术中，哪些气候条件有利于病害流行？|多雨和高湿有利于病害流行，尤其是春季和初夏降水量多时。|66
：李高效生产及绿色防控技术中，如何防治该病害？|：加强果园管理，秋末冬初结合修剪剪除病枯枝，清除僵果、残桩，集中烧毁或深埋，减少越冬菌源。注意雨后排水。|66
李高效生产中常见的病害特征有哪些？|地上部分比健株衰弱，后期出现叶片变黄、枯萎、变小、枯枝、枯干等特征；根部表面缠有灰白色蛛网状菌丝层，皮层变褐、腐烂且新根稀少；病株树皮变黑，容易脱落，易从土中拔出，根颈部出现黑色胶状溢出物，易折断。|76
李高效生产中病害的发生规律是什么？|病菌以菌丝体、根状菌索在土壤中越冬。在适宜的土壤温度（11.5°C至25°C）和湿度条件下，根状菌索长出营养菌丝侵害新根，逐渐延及粗根。|76
李高效生产中如何进行农业防治？|雨后及时排水，合理使用氮、磷、钾肥，增施有机肥；合理整枝修剪，避免过度修剪导致树势衰弱。|76
李高效生产中如何进行化学防治？|剔除病苗，栽植前用10%硫酸铜溶液或70%甲基硫菌灵可湿性粉剂500倍液浸根；症状初见时，切除已霉烂的根，浇施或撒施药液或药粉；上半年和下半年进行病树处理及施药，避免在7、8月高温、干燥季节扒土施药；使用25%甲霜灵可湿性粉剂、50%福美双可湿性粉剂、45%代森铵水剂等药剂进行药液灌根。|76
李实蜂成虫在什么时候出土？|李实蜂成虫在3月下旬至4月上旬开花期出土。|108
李实蜂幼虫期一般持续多久？|李实蜂幼虫期持续26~31天。|108
李实蜂幼虫会在树的哪个部位蛀入？|李实蜂幼虫一般从果实的顶部蛀入，也有从中部蛀入的情况。|108
防治李实蜂的方法有哪些？|防治李实蜂的方法包括加强果园管理、做好预测预报和覆盖薄膜。|108
为什么说品种栽植混乱的李园受害情况更严重？|品种栽植混乱的李园受害情况更严重，因为这样的李园趋于随机分布，更容易被李实蜂攻击。|108
李高效生产中使用的清洗设备有哪些？|鼓泡清洗机、毛刷清洗机、强流除水机。|140
李高效生产中使用的预处理设备是什么？|打皮机。|140
腌制脱盐过程中使用的设备有哪些？|腌制池（或腌制大缸）、脱盐池。|140
脱水与干制设备有哪些？|三足脱水机或强流除水机、热风烘干机。|140
料液配置设备是什么？|电热搅拌夹层锅。|140
李果加工的工艺流程包括哪些步骤？|清洗原料、预处理、腌制、干燥和脱盐处理、脱水、浸制、烘干处理、包装。|140
在选择李原料时应考虑哪些因素？|应选择果大、肉质厚、完熟、未软化的李作原料，以红心李品种最佳。|140
清洗李果时可以采用哪些方法？|可以采用人工清洗或水果清洗设备清洗表面灰尘、污物、腐叶，并自然沥干或用强流除水设备除水。|140
预处理过程中如何打皮？|可以采用打皮机加入粗盐共打，经滚筒转动而达到打皮目的；或采用砂轮把果皮表面打伤，或做一块有钉的木板让李在上面滚动而破皮。|140
：腌制李果有哪些方法？|：湿法腌制和干法腌制两种方法。|140
李高效生产及绿色防控技术中，污染物的限量应符合哪个国家标准？|GB2762|144
在李罐头加工过程中，用于封罐的设备是什么？|负压封口机|144
李果去皮漂洗过程中使用的氢氧化钠溶液的浓度是多少？|3%|144
在李罐头加工过程中，菌落总数和大肠菌群的限量分别是多少？|菌落总数≤50CFU/毫升，大肠菌群≤3MPN|144
在李罐头加工过程中，致病菌（沙门氏菌、志贺氏菌、金黄色葡萄球菌）的检出情况如何？|不得检出|144
李罐头加工过程中，用于杀菌的设备是什么？|双层水浴式杀菌釜|144
李罐头加工过程中，原料的选择标准是什么？|选择完熟，组织未软化，无霉变、无褐变、无腐烂及病虫害的李果实作为加工原料，李果实污染物及农药残留应符合GB2762、GB2763的要求。|144
高效生产及绿色防控技术中，主要的加工设施设备有哪些？|洗设备包括鼓泡清洗机、毛刷清洗机、强流除水机；去核、切片设备包括李果去核机或手持去核器、果蔬切片机；预冻设备包括隧道速冻机(箱式速冻机、低温冻库)；干制设备为真空冻干设备；包装设备为果蔬充氮包装机。|146
李高效生产及绿色防控技术中，操作要点包括什么？|料选择、清洗、去核(切片)、预冻、冻干、分拣和包装。|146
高效生产及绿色防控技术中，原料选择的标准是什么？|择完熟、组织未软化、无疤痕、无损伤、无腐烂褐变的李果实，且质地适宜刀具切片或去核的硬脆度，可溶性固形物含量在12%以上的李果实最佳。|146
李高效生产及绿色防控技术中，冻干过程的温度变化是怎样的？|在-45℃冻结2小时，然后逐步升温，在-40℃冻干2小时，-30℃冻干2小时，-20℃冻干2小时，-10℃冻干2小时，0℃冻干2小时，10℃冻干2小时，20℃冻干2小时，30℃冻干20小时。干燥时间和物料厚度、物料质地有关，总体需要36小时左右。|146
高效生产及绿色防控技术中，包装时应该放入什么？|装时应根据净含量放入适量的吸湿剂。|146
